,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,log message,log key,record id,parameter value vector,seq_path,path_pred,para_pred,fin_res
69,69,69,69,69,69,69,69,69,69,69,2020-06-26 13:22:29 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,468044,[1.0],"[17.0, 0.0, 9.0, 7.0, 5.0, 17]",1,0,0
70,70,70,70,70,70,70,70,70,70,70,2020-06-26 13:22:30 A token right was adjusted,A <*> <*> was <*>,468046,"[1.0, 0.98666, 0.82783]","[0.0, 9.0, 7.0, 5.0, 17.0, 16]",0,0,0
71,71,71,71,71,71,71,71,71,71,71,2020-06-26 13:22:29 Group membership information,Group membership information,468047,[1.0],"[9.0, 7.0, 5.0, 17.0, 16.0, 17]",0,0,0
72,72,72,72,72,72,72,72,72,72,72,2020-06-26 13:22:30 An operation was attempted on a privileged object,An operation was attempted on a privileged object,468048,[10.0],"[7.0, 5.0, 17.0, 16.0, 17.0, 16]",0,0,0
73,73,73,73,73,73,73,73,73,73,73,2020-06-26 13:22:40 An account was logged off,An account was logged off,1530830,[3.0],"[5.0, 17.0, 16.0, 17.0, 16.0, 17]",0,0,0
74,74,74,74,74,74,74,74,74,74,74,2020-06-26 13:22:43 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530832,[0.0],"[17.0, 16.0, 17.0, 16.0, 17.0, 16]",0,0,0
75,75,75,75,75,75,75,75,75,75,75,2020-06-26 13:22:43 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530833,"[0.0, 0.82045, 0.73645]","[16.0, 17.0, 16.0, 17.0, 16.0, 16]",0,0,0
76,76,76,76,76,76,76,76,76,76,76,2020-06-26 13:22:43 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530836,[0.0],"[17.0, 16.0, 17.0, 16.0, 16.0, 12]",1,0,0
77,77,77,77,77,77,77,77,77,77,77,2020-06-26 13:22:43 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530831,"[6.0, 0.82045, 0.73645]","[16.0, 17.0, 16.0, 16.0, 12.0, 6]",0,0,0
78,78,78,78,78,78,78,78,78,78,78,2020-06-26 13:22:49 The Windows Filtering Platform has permitted a bind to a local port,The Windows Filtering Platform has permitted a bind to a local port,1530834,[0.0],"[17.0, 16.0, 16.0, 12.0, 6.0, 9]",0,0,0
79,79,79,79,79,79,79,79,79,79,79,2020-06-26 13:22:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530835,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 12.0, 6.0, 9.0, 5]",0,0,0
80,80,80,80,80,80,80,80,80,80,80,2020-06-26 13:22:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530837,"[0.0, 0.82045, 0.73645]","[16.0, 12.0, 6.0, 9.0, 5.0, 16]",0,1,0
81,81,81,81,81,81,81,81,81,81,81,2020-06-26 13:22:49 Special privileges assigned to new logon,Special privileges assigned to new logon,1530838,[0.0],"[12.0, 6.0, 9.0, 5.0, 16.0, 16]",0,0,0
82,82,82,82,82,82,82,82,82,82,82,2020-06-26 13:22:49 An account was successfully logged on,An account was successfully logged on,1530839,[0.0],"[6.0, 9.0, 5.0, 16.0, 16.0, 16]",0,0,0
83,83,83,83,83,83,83,83,83,83,83,2020-06-26 13:22:49 Group membership information,Group membership information,1530840,[0.0],"[9.0, 5.0, 16.0, 16.0, 16.0, 16]",0,0,0
84,84,84,84,84,84,84,84,84,84,84,2020-06-26 13:22:49 An account was logged off,An account was logged off,1530841,[0.0],"[5.0, 16.0, 16.0, 16.0, 16.0, 16]",0,0,0
85,85,85,85,85,85,85,85,85,85,85,2020-06-26 13:22:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530842,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 16.0, 16]",0,0,0
86,86,86,86,86,86,86,86,86,86,86,2020-06-26 13:22:49 The Windows Filtering Platform has permitted a connection,The Windows Filtering Platform has <*> a <*>,1530843,"[0.0, 0.82045, 0.73645]","[16.0, 16.0, 16.0, 16.0, 16.0, 16]",0,0,0
