EventId,EventTemplate,Occurrences
78996bdd,restart.,5
fbe96392,gethostbyname error for ^X\F7\FF\BF^X\F7\FF\BF^Z\F7\FF\BF^Z\F7\FF\BF%8x%8x%8x%8x%8x%8x%8x%8x%8x%62716x%hn%51859x%hn\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220\220,3
620623a4,ttloop: peer died: EOF,25
7fb6ca22,ttloop: read: Connection reset by peer,4
7a3b512f,authentication failure; logname= uid=0 euid=0  ruser=  ,54
4d2b3456,"wu-ftpd - TLS settings: control allow, client_cert allow, data allow",90
37282dc5,lost connection to ALyon-209-1-6-58.w80-11.abo.wanadoo.fr [<*>],13
3262681b,FTP session closed,86
10e7e392,getpeername (in.ftpd): Transport endpoint is not connected,4
dfe68aca,Bad line received from identity server at <*>: ,12
8717a554,1 more authentication failure; logname= uid=0 euid=0 tty= ruser= rhost= user=nobody,46
88127cec,request_thread: fd #9: input buffer full: closing down,4
